price,sales
19.9,13
19.9,24
19.9,9
21.54285714,28
24.5,28
24.5,16
32.5,5
32.5,6
35.05714286,7
36.2,3
36.2,2
36.2,1
19.9,1
19.9,11
19.9,9
20.66666667,12
24.5,23
24.5,17
27.03333333,10
32.5,1
32.74285714,7
34.2,6
